ensemble_member,time,x,y,region,lat,lon
0,2000-02-26,117514.59375,350669.40625,SE1,66.13060511577886,17.608369537815392
0,2000-02-26,117514.59375,360669.40625,SE1,66.22031961386567,17.617399095799154
0,2000-02-26,117514.59375,370669.40625,SE1,66.3100252031469,17.626491352447445
0,2000-02-26,117514.59375,380669.40625,SE1,66.39972162978148,17.635646962710407
0,2000-02-26,117514.59375,390669.40625,SE1,66.48940863900663,17.644866590687055
0,2000-02-26,117514.59375,400669.40625,SE1,66.57908597513057,17.654150909785432
0,2000-02-26,117514.59375,410669.40625,SE1,66.66875338152477,17.663500602886256
0,2000-02-26,117514.59375,420669.40625,SE1,66.75841060061637,17.67291636250994
0,2000-02-26,117514.59375,430669.40625,SE1,66.84805737388035,17.682398890987198
0,2000-02-26,117514.59375,440669.40625,SE1,66.93769344183143,17.69194890063327
0,2000-02-26,117514.59375,450669.40625,SE1,67.02731854401605,17.701567113925908
0,2000-02-26,117514.59375,460669.40625,SE1,67.11693241900417,17.7112542636871
0,2000-02-26,117514.59375,470669.40625,SE1,67.20653480438075,17.72101109326881
0,2000-02-26,117514.59375,480669.40625,SE1,67.29612543673737,17.730838356742634
0,2000-02-26,117514.59375,490669.40625,SE1,67.38570405166345,17.74073681909364
0,2000-02-26,117514.59375,500669.40625,SE1,67.47527038373748,17.750707256418384
0,2000-02-26,117514.59375,510669.40625,SE1,67.56482416651805,17.760750456127255
0,2000-02-26,117514.59375,520669.40625,SE1,67.65436513253462,17.770867217151302
0,2000-02-26,117514.59375,530669.375,SE1,67.74389273352452,17.781058318189185
0,2000-02-26,117514.59375,540669.375,SE1,67.83340725948104,17.791324645544314
0,2000-02-26,127514.59375,140669.390625,SE1,64.24143843912852,17.63890528019243
0,2000-02-26,127514.59375,150669.390625,SE1,64.33127164046772,17.64742059106809
0,2000-02-26,127514.59375,160669.390625,SE1,64.4211009988531,17.655991003493114
0,2000-02-26,127514.59375,170669.390625,SE1,64.5109262776832,17.6646170537293
0,2000-02-26,127514.59375,180669.390625,SE1,64.60074723955864,17.67329928501578
0,2000-02-26,127514.59375,190669.390625,SE1,64.69056364627691,17.682038247682783
0,2000-02-26,127514.59375,200669.390625,SE1,64.7803752588267,17.690834499267652
0,2000-02-26,127514.59375,210669.390625,SE1,64.87018183738235,17.699688604633167
0,2000-02-26,127514.59375,220669.390625,SE1,64.95998314129827,17.70860113608814
0,2000-02-26,127514.59375,230669.390625,SE1,65.04977892910308,17.717572673510467
0,2000-02-26,127514.59375,240669.390625,SE1,65.13956895849375,17.7266038044726
0,2000-02-26,127514.59375,250669.390625,SE1,65.22935298632962,17.735695124369496
0,2000-02-26,127514.59375,260669.390625,SE1,65.31913076862641,17.74484723654918
0,2000-02-26,127514.59375,270669.40625,SE1,65.40890220081242,17.75406076689029
0,2000-02-26,127514.59375,280669.40625,SE1,65.49866675666186,17.76333630625769
0,2000-02-26,127514.59375,290669.40625,SE1,65.58842432989483,17.77267449701628
0,2000-02-26,127514.59375,300669.40625,SE1,65.67817467308979,17.78207597568501
0,2000-02-26,127514.59375,310669.40625,SE1,65.76791753794967,17.791541387429135
0,2000-02-26,127514.59375,320669.40625,SE1,65.8576526752952,17.80107138620742
0,2000-02-26,127514.59375,330669.40625,SE1,65.94737983505819,17.810666634922374
0,2000-02-26,127514.59375,340669.40625,SE1,66.0370987662745,17.820327805573587
0,2000-02-26,127514.59375,350669.40625,SE1,66.12680921707714,17.830055579414203
0,2000-02-26,127514.59375,360669.40625,SE1,66.21651093468908,17.83985064711065
0,2000-02-26,127514.59375,370669.40625,SE1,66.30620366541591,17.849713708905686
0,2000-02-26,127514.59375,380669.40625,SE1,66.39588715463853,17.859645474784823
0,2000-02-26,127514.59375,390669.40625,SE1,66.4855611468057,17.86964666464627
0,2000-02-26,127514.59375,400669.40625,SE1,66.5752253854263,17.87971800847442
0,2000-02-26,127514.59375,410669.40625,SE1,66.66487961306154,17.889860246516957
0,2000-02-26,127514.59375,420669.40625,SE1,66.75452357131725,17.900074129465793
0,2000-02-26,127514.59375,430669.40625,SE1,66.84415700083564,17.91036041864176
0,2000-02-26,127514.59375,440669.40625,SE1,66.93377964128724,17.92071988618326
0,2000-02-26,127514.59375,450669.40625,SE1,67.02339123136261,17.93115331523898
0,2000-02-26,127514.59375,460669.40625,SE1,67.11299150876378,17.941661500164667
0,2000-02-26,127514.59375,470669.40625,SE1,67.20258021019583,17.952245246724196
0,2000-02-26,127514.59375,480669.40625,SE1,67.29215707135792,17.962905372294973
0,2000-02-26,127514.59375,490669.40625,SE1,67.38172182693467,17.973642706077737
0,2000-02-26,127514.59375,500669.40625,SE1,67.4712742105869,17.984458089310994
0,2000-02-26,127514.59375,510669.40625,SE1,67.56081395494246,17.99535237549009
0,2000-02-26,127514.59375,520669.40625,SE1,67.650340791587,18.006326430591074
0,2000-02-26,127514.59375,530669.375,SE1,67.73985417134494,18.017381098626633
0,2000-02-26,127514.59375,540669.375,SE1,67.8293543831497,18.028517340315265
0,2000-02-26,137514.59375,140669.390625,SE1,64.23760537498003,17.84559429320063
0,2000-02-26,137514.59375,150669.390625,SE1,64.32742635462024,17.85477486840022
0,2000-02-26,137514.59375,160669.390625,SE1,64.41724342224484,17.86401483354269
0,2000-02-26,137514.59375,170669.390625,SE1,64.50705634061313,17.873314766410967
0,2000-02-26,137514.59375,180669.390625,SE1,64.5968648716784,17.882675252302004
0,2000-02-26,137514.59375,190669.390625,SE1,64.68666877658258,17.892096884149286
