ensemble_member,time,x,y,lat,lon
0,2000-02-26 00:00:00,-322485.40625,-879330.625,55.00334946566043,9.98361130237001
0,2000-02-26 00:00:00,-322485.40625,-869330.625,55.09221054942356,9.97147190958363
0,2000-02-26 00:00:00,-322485.40625,-859330.625,55.181087401018225,9.959273741588788
0,2000-02-26 00:00:00,-322485.40625,-849330.625,55.269979840593116,9.947016371376666
0,2000-02-26 00:00:00,-322485.40625,-839330.625,55.358887687712475,9.934699367800704
0,2000-02-26 00:00:00,-322485.40625,-829330.625,55.447810761354006,9.922322295526468
0,2000-02-26 00:00:00,-322485.40625,-819330.625,55.53674887990694,9.909884714980807
0,2000-02-26 00:00:00,-322485.40625,-809330.625,55.62570186116989,9.897386182300211
0,2000-02-26 00:00:00,-322485.40625,-799330.625,55.714669522348665,9.884826249278486
0,2000-02-26 00:00:00,-322485.40625,-789330.625,55.80365168005437,9.872204463313617
0,2000-02-26 00:00:00,-322485.40625,-779330.625,55.89264815030108,9.859520367353852
0,2000-02-26 00:00:00,-322485.40625,-769330.625,55.98165874850364,9.846773499843017
0,2000-02-26 00:00:00,-322485.40625,-759330.625,56.07068328947557,9.833963394665007
0,2000-02-26 00:00:00,-322485.40625,-749330.625,56.15972158742673,9.821089581087453
0,2000-02-26 00:00:00,-322485.40625,-739330.625,56.24877345596106,9.80815158370456
0,2000-02-26 00:00:00,-322485.40625,-729330.625,56.33783870807433,9.795148922379113
0,2000-02-26 00:00:00,-322485.40625,-719330.625,56.426917156151724,9.782081112183564
0,2000-02-26 00:00:00,-322485.40625,-709330.625,56.516008611965525,9.76894766334032
0,2000-02-26 00:00:00,-322485.40625,-699330.625,56.60511288667267,9.755748081161055
0,2000-02-26 00:00:00,-322485.40625,-689330.625,56.694229790812365,9.742481865985182
0,2000-02-26 00:00:00,-322485.40625,-679330.625,56.78335913430358,9.729148513117334
0,2000-02-26 00:00:00,-322485.40625,-669330.625,56.872500726442595,9.715747512763961
0,2000-02-26 00:00:00,-322485.40625,-659330.625,56.961654375900366,9.702278349968928
0,2000-02-26 00:00:00,-322485.40625,-649330.625,57.050819890720035,9.68874050454816
0,2000-02-26 00:00:00,-322485.40625,-639330.625,57.13999707831434,9.675133451023274
0,2000-02-26 00:00:00,-322485.40625,-629330.625,57.22918574546282,9.66145665855421
0,2000-02-26 00:00:00,-322485.40625,-619330.625,57.31838569830935,9.64770959087085
0,2000-02-26 00:00:00,-322485.40625,-609330.625,57.40759674235925,9.633891706203553
0,2000-02-26 00:00:00,-322485.40625,-599330.625,57.49681868247658,9.62000245721266
0,2000-02-26 00:00:00,-322485.40625,-589330.625,57.586051322881374,9.606041290916886
0,2000-02-26 00:00:00,-322485.40625,-579330.625,57.675294467146706,9.592007648620637
0,2000-02-26 00:00:00,-322485.40625,-569330.625,57.76454791819597,9.577900965840161
0,2000-02-26 00:00:00,-322485.40625,-559330.625,57.85381147829975,9.563720672228605
0,2000-02-26 00:00:00,-322485.40625,-549330.625,57.943084949073025,9.549466191499862
0,2000-02-26 00:00:00,-322485.40625,-539330.625,58.03236813147215,9.535136941351261
0,2000-02-26 00:00:00,-322485.40625,-529330.625,58.12166082579163,9.520732333385034
0,2000-02-26 00:00:00,-322485.40625,-519330.59375,58.21096311074443,9.506251727657503
0,2000-02-26 00:00:00,-322485.40625,-509330.59375,58.30027422715425,9.491694613842107
0,2000-02-26 00:00:00,-322485.40625,-499330.59375,58.38959425236613,9.477060339639419
0,2000-02-26 00:00:00,-322485.40625,-489330.59375,58.478922983996355,9.462348291461034
0,2000-02-26 00:00:00,-322485.40625,-479330.59375,58.56826021898362,9.447557849211897
0,2000-02-26 00:00:00,-322485.40625,-469330.59375,58.65760575358557,9.432688386204056
0,2000-02-26 00:00:00,-322485.40625,-459330.59375,58.74695938337558,9.417739269069022
0,2000-02-26 00:00:00,-322485.40625,-449330.59375,58.83632090323919,9.402709857668745
0,2000-02-26 00:00:00,-322485.40625,-439330.59375,58.9256901073707,9.387599505005172
0,2000-02-26 00:00:00,-322485.40625,-429330.59375,59.0150667892696,9.37240755712834
0,2000-02-26 00:00:00,-322485.40625,-419330.59375,59.10445074173711,9.357133353043006
0,2000-02-26 00:00:00,-322485.40625,-409330.59375,59.1938417568723,9.341776224613753
0,2000-02-26 00:00:00,-322485.40625,-399330.59375,59.283239626068635,9.326335496468587
0,2000-02-26 00:00:00,-322485.40625,-389330.59375,59.37264414001017,9.31081048590095
0,2000-02-26 00:00:00,-322485.40625,-379330.59375,59.462055088667654,9.295200502770156
0,2000-02-26 00:00:00,-322485.40625,-369330.59375,59.55147226129478,9.279504849400196
0,2000-02-26 00:00:00,-322485.40625,-359330.59375,59.64089544642422,9.263722820476895
0,2000-02-26 00:00:00,-322485.40625,-349330.59375,59.73032443186361,9.247853702943383
0,2000-02-26 00:00:00,-322485.40625,-339330.59375,59.819759004691655,9.231896775893851
0,2000-02-26 00:00:00,-322485.40625,-329330.59375,59.90919895125383,9.21585131046555
0,2000-02-26 00:00:00,-322485.40625,-319330.59375,59.99864405715837,9.199716569729024
0,2000-02-26 00:00:00,-322485.40625,-309330.59375,60.08809410727201,9.183491808576498
0,2000-02-26 00:00:00,-322485.40625,-299330.59375,60.177548885715645,9.167176273608451
0,2000-02-26 00:00:00,-322485.40625,-289330.59375,60.267008175860035,9.150769203018267
0,2000-02-26 00:00:00,-322485.40625,-279330.59375,60.35647176032137,9.134269826474979
0,2000-02-26 00:00:00,-322485.40625,-269330.59375,60.4459394209567,9.117677365004043
